Non Functional Log
De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:53:36	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:54:43	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 11:57:45	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 10-Jun-2022 12:02:00	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:03:33	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:04:21	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:07:39	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:08:45	Remote IP Address: ::1	De error is: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'mvcframework.countries' doesn't exist	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::createCountry linenumber: 68	
Datum/tijd: 10-Jun-2022 12:12:36	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:15:08	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:16:57	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:18:17	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 10-Jun-2022 12:18:33	Remote IP Address: ::1	De error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\projects_C2021\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 54	
Datum/tijd: 09-Dec-2022 14:55:34	Remote IP Address: ::1	De error is: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'restaurant.country' doesn't exist	file: C:\Users\berka\Downloads\mvc-framework (2)\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 55	
Datum/tijd: 09-Dec-2022 14:57:35	Remote IP Address: ::1	De error is: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'restaurant.country' doesn't exist	file: C:\Users\berka\Downloads\mvc-framework (2)\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 55	
Datum/tijd: 09-Dec-2022 14:57:45	Remote IP Address: ::1	De error is: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'restaurant.country' doesn't exist	file: C:\Users\berka\Downloads\mvc-framework (2)\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 55	
Datum/tijd: 09-Dec-2022 14:58:02	Remote IP Address: ::1	De error is: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'restaurant.country' doesn't exist	file: C:\Users\berka\Downloads\mvc-framework (2)\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 55	
Datum/tijd: 09-Dec-2022 15:00:33	Remote IP Address: ::1	De error is: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`restaurant`.`reservering`, CONSTRAINT `fk_gast` FOREIGN KEY (`gast`) REFERENCES `gast` (`email`) ON DELETE NO ACTION ON UPDATE NO ACTION)	file: C:\Users\berka\Downloads\mvc-framework (2)\mvc-framework\app\models\Country.php method: Country::deleteCountry linenumber: 55	
